Particulars,"As at March 31, 2025","As at March 31, 2024"
(a) Deemed equity [refer note 21.1 below],"63.76
13.02","51.99
11.77"
"Balance at beginning of the year
Addition during the year",,
Balance at end of the year,76.78,63.76
(b) Reserves and Surplus,"91.86
-","91.86
-"
(i) Capital redemption reserve [refer note 21.2 below],,
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,91.86,91.86
(ii) Securities premium [refer note 21.3 below],"3,463.90
-","3,463.90
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,"3,463.90","3,463.90"
(iii) Capital reserve [refer note 21.4 below],"0.07
-","0.07
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,0.07,0.07
(iv) General reserve [refer note 21.5 below],"1,192.00
-","1,192.00
-"
"Balance at beginning of the year
Transfer from retained earnings",,
Balance at end of the year,"1,192.00","1,192.00"
(v) Other reserve [refer note 21.6 below],"(13,488.41)
-","(13,488.41)
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,"(13,488.41)","(13,488.41)"
(vi) Cash Flow Hedging Reserve [refer note 21.7 below],"-
-
(5.03)","-
-
-"
"Opening Balance
Reclassification to statement of profit or loss
Change in Fair Value",,
Balance at end of the year,(5.03),-
(vii) Retained earnings,"1,23,975.34
562.05
(193.53)
(3,505.20)
-","89,807.24
35,970.60
(49.90)
(1,752.60)
-"
"Balance at beginning of the year
Profit / (Loss) after tax for the year
Other Comprehensive Income for the year, net of income tax
Payment of Dividends
Transfer to / from Debenture Redemption Reserve",,
Balance at end of the year,"1,20,838.66","1,23,975.34"
