13.,"Any default, if any, made by a related party
concerning any obligation undertaken by it under
a transaction or arrangement entered into with the
listed entity or its subsidiary during the last three
financial years.",Nil,Not Applicable,col
A(5).,Amount of the proposed transactions (All types of,transactions taken together),,
14.,"Total amount of all the proposed transactions being
placed for approval in the current meeting.","₹5,000 Crores (Previous year it was
₹3,000 Crores)",No Comment,
15.,"Whether the proposed transactions taken together
with the transactions undertaken with the related
party during the current financial year is material
RPT in terms of Para 1(1) of these Standards?",Yes,No Comment,
16.,"Value of the proposed transactions as a percentage
of the listed entity's annual consolidated turnover
for the immediately preceding financial year",4.58%,No Comment,
17.,"Value of the proposed transactions as a percentage
of subsidiary's annual standalone turnover for the
immediately preceding financial year (in case of
a transaction involving the subsidiary, and where
the listed entity is not a party to the transaction)",Not applicable,Not Applicable,
18.,"Value of the proposed transactions as a percentage
of the related party's annual standalone turnover
for the immediately preceding financial year.",196.08%,No Comment,
B.,Details for specific transactions,,,
B(1).,Basic details of the proposed transaction,,,
"(In ca
transa
and s
separ","se of multiple types of proposed transactions, de
ction – for example, (i) sale of goods and purchase
ale of services to be treated as separate transactio
ate transactions)","tails to be provided separately for each typ
of goods to be treated as separate transactions
ns; (iii) giving of loans and giving of guarant","e of the proposed
; (ii) sale of goods
ee to be treated as",
1.,"Specific type of the proposed transaction (e.g.
sale of goods/services, purchase of goods/services,
giving loan, borrowing etc.)",Sale of Aviation Turbine Fuel (ATF),No Comment,
2.,Details of the proposed transaction,"Aviation Turbine Fuel (ATF), or jet fuel, is a
specialized petroleum-based fuel used to
power aircraft engines, particularly those
with gas-turbine engines.",No Comment,
3.,"Tenure of the proposed transaction (tenure in
number of years or months to be specified)","Pursuant to Joint Venture agreement, MRPL
and SMAFSL has entered into Jet Fuel sale,
purchase and infrastructure sharing
agreement. This agreement is valid till
validity of the Joint Venture agreement
which is currently valid upto Feb 28, 2035.
Pricing terms of the agreement is amended
from time to time with the current
amendment governing pricing from
01.04.2025 to 31.03.2026.",No Comment,
