Particulars,col,Note No.,"Year ended March 31, 2025","Year ended March 31, 2024"
"I.
II.","Income:
Revenue from Operations
Other Income","28
29","10,92,774.89
1,532.09","10,52,232.78
1,791.08"
III.,Total Income (I + II),,"10,94,306.98","10,54,023.86"
IV.,"Expenses:
Cost of Materials Consumed
Purchases of Stock-in-Trade
Changes in Inventories of Finished Goods & Stock-in-Process
Excise Duty
Employee Benefits Expense
Finance Costs
Depreciation and Amortisation Expense
Other Expenses","30
31
32
33
34
35
36","8,96,272.06
104.99
(4,152.76)
1,45,958.66
7,002.50
10,082.51
13,470.15
24,661.23","8,07,905.76
47.77
(10,754.85)
1,48,165.97
7,720.63
11,138.45
12,572.85
22,065.25"
,Total Expenses (IV),,"10,93,399.34","9,98,861.83"
V.,Profit/ (Loss) Before Exceptional Items and Tax (III-IV),,907.64,"55,162.03"
VI.,Exceptional Items (Income)/Expenses (net),36.5,-,82.90
VII.,Share of Profit of Joint Venture,,281.25,146.23
VIII.,Profit/ (Loss) Before Tax (V- VI+VII),,"1,188.89","55,225.36"
IX.,"Tax Expenses:
(1) Current Tax
- Current year
- Earlier years
(2) Deferred Tax","37
25","146.68
(107.16)
587.32","9,647.90
(5.79)
9,612.65"
,Total Tax Expenses (IX),,626.84,"19,254.76"
X.,Profit/ (Loss) for the year (VIII-IX),,562.05,"35,970.60"
XI.,Other Comprehensive Income,,,
,"Items that will not be reclassified to Profit or Loss :
(i) Remeasurement of the Defined Benefit Plans
(ii) Income Tax relating to above
Items that will be reclassified to Profit or Loss :
(i) Effective portion of gains / (losses) on hedging instruments in cash
flow hedges
(ii) Income Tax relating to above","37
37","(296.91)
103.38
(6.73)
1.70","(76.77)
26.87
-
-"
,Total Other Comprehensive Income (XI),,(198.56),(49.90)
XII.,Total Comprehensive Income for the year (X+XI),,363.49,"35,920.70"
"XIII.
XIV.
XV.","Profit / (Loss) for the year attributable to
Owners of the Company
Non Controlling Interest
Other Comprehensive Income for the year attributable to
Owners of the Company
Non Controlling Interest
Total Comprehensive Income for the year attributable to
Owners of the Company
Non Controlling Interest",,"562.05
-
(198.56)
-
363.49
-","35,970.60
-
(49.90)
-
35,920.70
-"
XVI.,"Earnings per Equity Share
(1) Basic (in `)
(2) Diluted (in `)",38,"0.32
0.32","20.52
20.52"
