Particulars,"As at March 31, 2025","As at March 31, 2024"
(a) Deemed equity [refer note 21.1 below],"63.76
13.02","51.99
11.77"
"Balance at beginning of the year
Addition during the year",,
Balance at end of the year,76.78,63.76
(b) Reserves and Surplus,"91.86
-","91.86
-"
(i) Capital redemption reserve [refer note 21.2 below],,
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,91.86,91.86
(ii) Securities premium [refer note 21.3 below],"3,463.90
-","3,463.90
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,"3,463.90","3,463.90"
(iii) General reserve [refer note 21.4 below],"1,192.00
-","1,192.00
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,"1,192.00","1,192.00"
(iv) Other reserve [refer note 21.5 below],"(13,488.41)
-","(13,488.41)
-"
"Balance at beginning of the year
Transfer during the year",,
Balance at end of the year,"(13,488.41)","(13,488.41)"
(v) Retained earnings,"1,23,665.13
505.80
(190.71)
(3,505.20)","89,508.61
35,959.37
(50.25)
(1,752.60)"
"Balance at beginning of the year
Profit / (Loss) after tax for the year
Other comprehensive income for the year, net of income tax
Payment of Dividends",,
Balance at end of the year,"1,20,475.02","1,23,665.13"
