col,"Explanation: Indirect shareholding shall mean
shareholding held through any person over which
an individual has control including shareholding
held through relatives.",Not Applicable,Not Applicable_2
,a. Name of the director / KMP/ partner,Not applicable,Not applicable
,"b. Shareholding of the director / KMP/ partner,
whether direct or indirect, in the listed entity",Not applicable,Not applicable
11.,"A copy of the valuation or other external party
report, if any, shall be placed before the Audit
Committee.",Not applicable,Not applicable
12.,Other information relevant for decision making.,Nil,
B(2).,"Additional details for proposed transactions rela
other similar business transaction","ting to sale, purchase or supply of goods or se",rvices or any
13.,"Number of bidders / suppliers / vendors / traders /
distributors / service providers from whom bids /
quotations were received with respect to the
proposed transaction along with details of process
followed to obtain bids.","Not applicable as it is as per the agreement
and agreed terms.",Not applicable
14,Best bid / quotation received.,"Not applicable as it is as per the agreement
entered into and agreed terms.",Not applicable
,"If comparable bids are available, disclose the
price and terms offered.",,
15.,"Additional cost / potential loss to the listed entity
or the subsidiary in transacting with the related
party compared to the best bid / quotation received.",Not applicable,Not applicable
16.,"Where bids were not invited, the fact shall be
disclosed along with the justification for the same.","Shell MRPL Aviation Fuels and Services
Limited is a 50:50 Joint Venture Company
formed in 2008 between Shell Gas B.V.-
Netherlands and Mangalore Refinery and
Petrochemicals Limited (MRPL) for
marketing of Aviation Fuel in India.",
17.,"Wherever comparable bids are not available, state
what is basis to recommend to the Audit
Committee that the terms of proposed RPT are
beneficial to the shareholders.","Not applicable as the JV is formed for
marketing of ATF as explained in point
16 above.",Not applicable
